plan_file	plan_id	derived_repo	derived_title	action	issue_number	issue_url	error
04-plans/E5b-metric-decision-e2e.md	E5b	tastile/tastile-web	[E5b] Metric + Decision e2e spec	POSTED	61	https://github.com/tastile/tastile-web/issues/61	
04-plans/E6a-reference-condition-scope.md	E6a	tastile/tastile-web	[E6a] Reference condition scope	POSTED	62	https://github.com/tastile/tastile-web/issues/62	
04-plans/E6b-condition-scope-e2e.md	E6b	tastile/tastile-web	[E6b] Condition scope e2e	POSTED	63	https://github.com/tastile/tastile-web/issues/63	
04-plans/E7a-condition-ast-component-shared-refactor.md	E7a	tastile/tastile-web	[E7a] ConditionEditor shared refactor (completion + FrameRule.active)	POSTED	64	https://github.com/tastile/tastile-web/issues/64	
04-plans/F1a-meta-project-removal.md	F1a	tastile/tastile-web	[F1a] `meta.project` UI 除去と wire の silent drop 化	POSTED	65	https://github.com/tastile/tastile-web/issues/65	
04-plans/F1b-meta-tags-removal.md	F1b	tastile/tastile-web	[F1b] `meta.tags[]` UI 除去と wire の silent drop 化	POSTED	66	https://github.com/tastile/tastile-web/issues/66	
04-plans/F2a-meta-project-spec.md	F2a	tastile/tastile-core	[F2a] `v1_project` テーブル設計 spec（wire 拡張パス採用時の deferred 計画）	POSTED	85	https://github.com/tastile/tastile-core/issues/85	
04-plans/F2b-meta-tags-spec.md	F2b	tastile/tastile-core	[F2b] `v1_tag` テーブル設計 spec（wire 拡張パス採用時の deferred 計画）	POSTED	86	https://github.com/tastile/tastile-core/issues/86	
04-plans/G1a-wslc-image-build.md	G1a	tastile/tastile-core	[G1a] wslc image cold build	POSTED	87	https://github.com/tastile/tastile-core/issues/87	
04-plans/G1b-image-warm-verify.md	G1b	tastile/tastile-core	[G1b] wslc image warm/cold verify	POSTED	88	https://github.com/tastile/tastile-core/issues/88	
04-plans/G1c-wslc-binary-preflight.md	G1c	tastile/tastile-core	[G1c] wslc binary preflight	POSTED	89	https://github.com/tastile/tastile-core/issues/89	
04-plans/G2a-postgres-container-up.md	G2a	tastile/tastile-core	[G2a] postgres container up + readiness loop	POSTED	90	https://github.com/tastile/tastile-core/issues/90	
04-plans/G2b-migrations-apply.md	G2b	tastile/tastile-core	[G2b] V1_* SQL migrations applied on first api boot	POSTED	91	https://github.com/tastile/tastile-core/issues/91	
04-plans/G3a-api-container-up.md	G3a	tastile/tastile-core	[G3a] api container up + bridge secret env injection	POSTED	92	https://github.com/tastile/tastile-core/issues/92	
04-plans/G3b-health-probes.md	G3b	tastile/tastile-core	[G3b] `/v1/health` + liveness probes	POSTED	93	https://github.com/tastile/tastile-core/issues/93	
04-plans/G4a-worker-container-up.md	G4a	tastile/tastile-core	[G4a] wslc container bring-up for tastile-v1-api	POSTED	94	https://github.com/tastile/tastile-core/issues/94	
04-plans/G4b-e2e-helper-truncate-list.md	G4b	tastile/tastile-web	[G4b] E2E helper TRUNCATE list extension	POSTED	67	https://github.com/tastile/tastile-web/issues/67	
04-plans/G5a-helper-docker-to-wslc.md	G5a	tastile/tastile-web	[G5a] e2e helper: docker exec → wslc container exec + TRUNCATE 拡張	POSTED	68	https://github.com/tastile/tastile-web/issues/68	
04-plans/G5b-bridge-endpoint-reachability.md	G5b	tastile/tastile-core	[G5b] Bridge endpoint reachability (host + web)	POSTED	95	https://github.com/tastile/tastile-core/issues/95	
04-plans/G5b-spec-truncate-extend.md	G5b1	tastile/tastile-web	[G5b1] spec TRUNCATE call sites switch to resetDb()	POSTED	69	https://github.com/tastile/tastile-web/issues/69	
04-plans/G6a-playwright-config-check.md	G6a	tastile/tastile-core	[G6a] Playwright config check	POSTED	96	https://github.com/tastile/tastile-core/issues/96	
04-plans/G6b-bridge-secret-injection.md	G6b	tastile/tastile-core	[G6b] bridge secret env-var injection procedure	POSTED	97	https://github.com/tastile/tastile-core/issues/97	
04-plans/G6c-port-31400-conflict-check.md	G6c	tastile/tastile-core	[G6c] port 31400 conflict preflight	POSTED	98	https://github.com/tastile/tastile-core/issues/98	
04-plans/G7a-e2e-run-quick-tile.md	G7a	tastile/tastile-web	[G7a] first E2E run (quick-tile-create-e2e.spec.ts) procedure	POSTED	70	https://github.com/tastile/tastile-web/issues/70	
04-plans/G7b-cleanup-down-script.md	G7b	tastile/tastile-core	[G7b] `scripts/wslc/down.sh` clean teardown + up-v1 idempotency	POSTED	99	https://github.com/tastile/tastile-core/issues/99	
04-plans/G7b-image-version-pinning.md	G7b	tastile/tastile-core	[G7b] image version pinning (tag + label scheme)	POSTED	100	https://github.com/tastile/tastile-core/issues/100	
04-plans/G8a-health-endpoint-curl-smoke.md	G8a	tastile/tastile-core	[G8a] /v1/health curl smoke gate	POSTED	101	https://github.com/tastile/tastile-core/issues/101	
04-plans/G8a-wslc-down.md	G8a1	tastile/tastile-core	[G8a1] `scripts/wslc/down.sh` clean teardown procedure + state preservation	POSTED	102	https://github.com/tastile/tastile-core/issues/102	
04-plans/G8b-cold-reset.md	G8b	tastile/tastile-core	[G8b] cold reset（full data wipe + image rebuild）	POSTED	103	https://github.com/tastile/tastile-core/issues/103	
04-plans/H1a-secret-export-procedure.md	H1a	tastile/tastile-core	[H1a] Manual bridge secret export	POSTED	104	https://github.com/tastile/tastile-core/issues/104	
04-plans/H1b-bridge-secret-mismatch-curl.md	H1b	tastile/tastile-core	[H1b] bridge secret mismatch 検出 (1 文字改竄 curl test)	POSTED	105	https://github.com/tastile/tastile-core/issues/105	
04-plans/H1c-bridge-secret-validation.md	H1c	tastile/tastile-core	[H1c] bridge secret format validation	POSTED	106	https://github.com/tastile/tastile-core/issues/106	
04-plans/H2-proxy-bridge-audit.md	H2	tastile/tastile-web	[H2] Proxy route bridge-mode audit	POSTED	71	https://github.com/tastile/tastile-web/issues/71	
04-plans/H2b-core-bridge-handler.md	H2b	tastile/tastile-core	[H2b] core bridge auth handler	POSTED	107	https://github.com/tastile/tastile-core/issues/107	
04-plans/H3a-bridge-auth-curl-verify.md	H3a	tastile/tastile-core	[H3a] bridge auth curl-only smoke test	POSTED	108	https://github.com/tastile/tastile-core/issues/108	
04-plans/H3b-bridge-auth-testing.md	H3b	tastile/tastile-core	[H3b] bridge auth integration test suite	POSTED	109	https://github.com/tastile/tastile-core/issues/109	
04-plans/H4a-bridge-mode-flag-flip.md	H4a	tastile/tastile-web	[H4a] Flip E2E_BYPASS_AUTH=0 and verify cookie path	POSTED	72	https://github.com/tastile/tastile-web/issues/72	
04-plans/H4b-e2e-bridge-contract.md	H4b	tastile/tastile-core	[H4b] e2e bridge auth contract verify	POSTED	110	https://github.com/tastile/tastile-core/issues/110	
04-plans/T1a-tile-create-flow-trace.md	T1a	tastile/tastile-web	[T1a] QuickCreate tile 作成 runtime trace	POSTED	75	https://github.com/tastile/tastile-web/issues/75
04-plans/T1b-tile-edit-flow-trace.md	T1b	tastile/tastile-web	[T1b] tile edit post-submit runtime trace	POSTED	73	https://github.com/tastile/tastile-web/issues/73	
04-plans/T2a-tile-delete-trace.md	T2a	tastile/tastile-web	[T2a] tile delete runtime trace	POSTED	74	https://github.com/tastile/tastile-web/issues/74	
04-plans/T2b-change-set-impact.md	T2b	tastile/tastile-core	[T2b] edit/delete ChangeSet impact trace	POSTED	111	https://github.com/tastile/tastile-core/issues/111	
04-plans/T3a-v1-timeline-trace.md	T3a	tastile/tastile-core	[T3a] `/v1/timeline` response-shape runtime trace	POSTED	112	https://github.com/tastile/tastile-core/issues/112	
04-plans/T3b-worker-tick-trace.md	T3b	tastile/tastile-core	[T3b] v1 worker tick loop runtime trace	POSTED	113	https://github.com/tastile/tastile-core/issues/113	
# SUMMARY POSTED=93 FAILED=0 TOTAL=93
